Species_num_comb,X1_Aeromonas_hydrophila_4AK4,X2_Cupriavidus_necator_H16,X3_Escherichia_coli_DH5alpha,X4_Escherichia_coli_MG1655,X5_Stutzerimonas_stutzeri,X6_Pseudomonas_putida_KT2442,X7_Proteus_vulgaris,X8_Undibacterium_terreum_C3,X9_Aliiglaciecola_lipolytica_E3,X10_Asticcacaulis_taihuensis_T3-B7,X11_Novosphingobium_taihuense_T3-B9,X12_Salmonella_enterica_subsp._enterica_serovar_Braenderup,X13_Klebsiella_pneumoniae,X14_Vibrio_cholerae,X15_Acinetobacter_baumannii,X16_Salmonella_enterica_subsp._enterica_serovar_Typhimurium
1_C01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_C02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_C03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1_C04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1_C05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1_C06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1_C07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1_C08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1_C09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1_C10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1_C11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1_C12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1_C13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1_C14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1_C15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1_C16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_C01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2_C02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_C03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2_C04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_C05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2_C06,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2_C07,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2_C08,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2_C09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2_C10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2_C11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2_C12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2_C13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2_C14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2_C15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2_C16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4_C01,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4_C02,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
4_C03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4_C04,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4_C05,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
4_C06,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
4_C07,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
4_C08,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
4_C09,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
4_C10,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
4_C11,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
4_C12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
4_C13,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4_C14,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
4_C15,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
4_C16,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
8_C01,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1
8_C02,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1
8_C03,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1
8_C04,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
8_C05,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0
8_C06,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
8_C07,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1
8_C08,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1
8_C09,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
8_C10,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0
8_C11,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1
8_C12,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1
8_C13,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1
8_C14,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1
8_C15,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0
8_C16,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0
12_C01,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1
12_C02,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1
12_C03,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
12_C04,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
12_C05,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
12_C06,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1
12_C07,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
12_C08,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
12_C09,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
12_C10,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1
12_C11,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1
12_C12,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0
12_C13,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1
12_C14,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1
12_C15,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
12_C16,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
16_C01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1